Match	LatinskNavn_id	name	Classification	Trophy	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Classification_1
Dinophysis	118289	Dinophysis_odiosa	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis odiosa	Dinoflagellata
Dinophysis	118290	Dinophysis_ovata	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis ovata	Dinoflagellata
Dinophysis	118903	Dinophysis_rotundata	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis rotundata	Dinoflagellata
Dinophysis	118291	Dinophysis_ruudii	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis ruudii	Dinoflagellata
Dinophysis	118901	Dinophysis_skagii	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis skagii	Dinoflagellata
Dinophysis	118292	Dinophysis_tripos	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis tripos	Dinoflagellata
Diploneis	147633	Diploneis_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Diploneis	Diploneis (Slekt)	Diatoms
Diploneis	-592	Diploneis_16-20x43-50_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Diploneis	Diploneis 16-20x43-50 µm	Diatoms
Diplopelta	118478	Diplopelta_bomba	Dinoflagellata	Dinoflagellate	"NA"	"NA"	"NA"	Dinophyceae	NA	"NA"	"NA"	Diplopelta bomba	Dinoflagellata
Diplopsalis	118479	Diplopsalis_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Diplopsalidaceae	Diplopsalis	Diplopsalis (Slekt)	Dinoflagellata
Diplopsalis	-593	Diplopsalis_30-40_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Diplopsalidaceae	Diplopsalis	Diplopsalis 30-40 µm	Dinoflagellata
Diplopsalis	-594	Diplopsalis_40-50_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Diplopsalidaceae	Diplopsalis	Diplopsalis 40-50 µm	Dinoflagellata
Diplopsalis	118480	Diplopsalis_lenticula	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Diplopsalidaceae	Diplopsalis	Diplopsalis lenticula	Dinoflagellata
Diplopsalopsis	147842	Diplopsalopsis_bomba	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Diplopsalidaceae	Diplopsalopsis	Diplopsalopsis bomba	Dinoflagellata
Dissodinium	147859	Dissodinium_pseudocalani	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Chytriodiniaceae	Dissodinium	Dissodinium pseudocalani	Dinoflagellata
Dissodinium	118917	Dissodinium_pseudolunula	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Chytriodiniaceae	Dissodinium	Dissodinium pseudolunula	Dinoflagellata
Ditylum	117486	Ditylum_brightwellii	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Ditylum	Ditylum brightwellii	Diatoms
Dolichospermum	-1027	Dolichospermum_4-5x100_µm	Cyanophyceae	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Dolichospermum 4-5x100 µm	Cyanophyceae
Dolichospermum	-1028	Dolichospermum_5-7x100_µm	Cyanophyceae	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Dolichospermum 5-7x100 µm	Cyanophyceae
Ebria_tripartita	147959	Ebria_tripartita	Other_protists	Heterotroph	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Ebriida	Ebriidae	Ebria	Ebria tripartita	Other_protists
Elakatothrix	149684	Elakatothrix_genevensis	Chlorophyta	"NA"	Eukaryota	Archaeplastida	Streptophyta	Klebsormidiophyceae	Klebsormidiophyceae_X	Klebsormidiophyceae_XX	Elakatothrix	Elakatothrix genevensis	Chlorophyta
Emiliania	117044	Emiliania_huxleyi	Haptophyta	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi	Haptophyta
Ensiculifera	-972	Ensiculifera_20-40x25-45_µm	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Thoracosphaeraceae	Ensiculifera	Ensiculifera 20-40x25-45 µm	Dinoflagellata
Ensiculifera	118437	Ensiculifera_carinata	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Thoracosphaeraceae	Ensiculifera	Ensiculifera carinata	Dinoflagellata
Entomoneis	147642	Entomoneis_(Slekt)	Ochrophyta	"NA"	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Entomoneis	Entomoneis (Slekt)	Diatoms
Entomoneis	-595	Entomoneis_20-30x90-110_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Entomoneis	Entomoneis 20-30x90-110 µm	Diatoms
Entomoneis	151413	Entomoneis_alata	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Entomoneis	Entomoneis alata	Diatoms
Entomosigma	169382	Entomosigma_peridinioides_(Slekt)	Dinoflagellata	Dinoflagellate	"NA"	"NA"	"NA"	Dinophyceae	NA	"NA"	"NA"	Entomosigma peridinioides (Slekt)	Dinoflagellata
Eucampia	117476	Eucampia_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Eucampia	Eucampia (Slekt)	Diatoms
Eucampia	117477	Eucampia_groenlandica	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Eucampia	Eucampia groenlandica	Diatoms
Eucampia	117478	Eucampia_zodiacus	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Eucampia	Eucampia zodiacus	Diatoms
Euglena	118546	Euglena_(Slekt)	"NA"	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Euglena	Euglena (Slekt)	NA
Euglena	-1029	Euglena_8x45-55_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Euglena	Euglena 8x45-55 µm	Euglenophyta
Euglenales	1496	Euglenales_(Orden)	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Euglenales (Orden)	NA
Euglenales	-846	Euglenales_11x75_µm	Euglenophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Euglenales 11x75 µm	Euglenophyta
Euglenales	-596	Euglenales_13-15x22-28_µm	Euglenophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Euglenales 13-15x22-28 µm	Euglenophyta
Euglenales	-597	Euglenales_13-17x30-40_µm	Euglenophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Euglenales 13-17x30-40 µm	Euglenophyta
Euglenales	-847	Euglenales_5x50-70_µm	Euglenophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Euglenales 5x50-70 µm	Euglenophyta
Euglenales	-598	Euglenales_7-9x20-30_µm	Euglenophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Euglenales 7-9x20-30 µm	Euglenophyta
Euglenales	-599	Euglenales_9x30_µm	Euglenophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Euglenales 9x30 µm	Euglenophyta
Eunicella	206400	Eunicella_(Slekt)	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Eunicella (Slekt)	NA
Eutintinnus	-1030	Eutintinnus_30x60_µm	Ciliophora	Heterotroph	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Tintinnida	Eutintinnidae	Eutintinnus	Eutintinnus 30x60 µm	Ciliophora
Eutintinnus	147867	Eutintinnus_elongatus	Ciliophora	Heterotroph	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Tintinnida	Eutintinnidae	Eutintinnus	Eutintinnus elongatus	Ciliophora
Eutreptiella	118552	Eutreptiella_(Slekt)	"NA"	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella (Slekt)	NA
Eutreptiella	-603	Eutreptiella_10-15x80-90_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella 10-15x80-90 µm	Euglenophyta
Eutreptiella	-849	Eutreptiella_11-13x20-30_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella 11-13x20-30 µm	Euglenophyta
Eutreptiella	-604	Eutreptiella_11-13x30-40_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella 11-13x30-40 µm	Euglenophyta
Eutreptiella	-605	Eutreptiella_13-17x40-60_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella 13-17x40-60 µm	Euglenophyta
Eutreptiella	-606	Eutreptiella_17-23x50-70_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella 17-23x50-70 µm	Euglenophyta
Eutreptiella	-607	Eutreptiella_23-27x60-70_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella 23-27x60-70 µm	Euglenophyta
Eutreptiella	-608	Eutreptiella_27-33x70-80_µm	Euglenophyta	"NA"	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Eutreptiidae	Eutreptiella	Eutreptiella 27-33x70-80 µm	Euglenophyta
